incident_id,date,murder,longitude,latitude
201575314,2019-08-23,FALSE,-73.80814071699996,40.697805308000056
205748546,2019-11-27,FALSE,-73.91857061799993,40.81869973000005
193118596,2019-02-02,FALSE,-73.94547965999999,40.791916091000076
204192600,2019-10-24,TRUE,-74.16610830199994,40.63806398200006
201483468,2019-08-22,FALSE,-73.91333944399997,40.85454734900003
198255460,2019-06-07,FALSE,-73.90842523899994,40.67982701600005
194570529,2019-03-11,FALSE,-73.93895197599994,40.68756556300008
203211777,2019-10-03,TRUE,-73.92620615399994,40.64465170600005
193694863,2019-02-17,FALSE,-73.94501432899995,40.75627543400003
199582060,2019-07-10,FALSE,-73.89791186799994,40.64929346200006
197997726,2019-06-03,FALSE,-73.89500620399997,40.86065555300007
204464564,2019-11-04,FALSE,-73.91375915499998,40.82079045300003
205908100,2019-12-02,FALSE,-73.92754078099995,40.64341191200003
197953462,2019-06-01,FALSE,-73.75310453299994,40.60327400700004
201436772,2019-08-21,FALSE,-74.11896229899997,40.634411467000064
196542452,2019-04-27,FALSE,-73.95449784399995,40.65388611000003
205748546,2019-11-27,FALSE,-73.91857061799993,40.81869973000005
200056616,2019-07-21,FALSE,-73.88653330699998,40.65449240100003
206875589,2019-12-30,FALSE,-73.91936988499998,40.68681516500004
199403137,2019-07-06,FALSE,-73.95121919899998,40.652572760000055
196276903,2019-04-19,FALSE,-73.74979967899998,40.68947265200006
206821821,2019-12-21,FALSE,-73.97305570499998,40.67800757700007
191709964,2019-01-01,TRUE,-73.86615550299996,40.66567470000007
203517393,2019-10-09,TRUE,-73.70204752099994,40.74174848400003
200365038,2019-07-28,FALSE,-73.917800376999935,40.85143811800003
201852654,2019-08-31,FALSE,-73.85205834399994,40.84262515300003
193418293,2019-02-09,FALSE,-73.86599762999998,40.86268129200005
199637606,2019-07-11,TRUE,-73.89940208399997,40.85837313300004
198107751,2019-06-05,FALSE,-73.75058721799996,40.676551919000076
198858230,2019-06-23,FALSE,-73.96085431599994,40.59401905900006
195102368,2019-03-22,FALSE,-73.89368292099994,40.84264632600008
200209680,2019-07-24,FALSE,-73.84135960699996,40.87324459100006
200891279,2019-08-08,FALSE,-73.94142502699998,40.65120677600004
203348698,2019-10-05,TRUE,-73.94565697199994,40.800334261000046
193939359,2019-02-24,FALSE,-73.91182094199996,40.83021160200008
201875868,2019-09-02,FALSE,-73.89291929999996,40.85451099000005
202804360,2019-09-23,FALSE,-73.92054002199995,40.679188252000074
196000890,2019-04-14,FALSE,-73.90679704999997,40.859381159000066
197381376,2019-05-19,FALSE,-73.78339071499994,40.696592115000044
197662446,2019-05-26,FALSE,-73.88779253999996,40.66649382600008
203041423,2019-09-27,FALSE,-73.89625447799995,40.66762987300007
191851038,2019-01-03,FALSE,-74.16281491499996,40.624715270000024
205280613,2019-11-17,FALSE,-73.94274857999994,40.79708858400005
199247701,2019-07-03,FALSE,-73.94342324599995,40.755443005000075
194085121,2019-02-27,FALSE,-73.92414673399998,40.861820186000045
196414299,2019-04-24,FALSE,-73.93865428399994,40.662321699000074
198350536,2019-06-11,FALSE,-73.87035911599997,40.66905010500005
205332522,2019-11-19,TRUE,-73.89424277099994,40.66553377300005
199134406,2019-06-29,FALSE,-73.89435450199994,40.63367789500006
201720172,2019-08-28,FALSE,-73.90446299999996,40.86350728100007
200056610,2019-07-19,FALSE,-73.89769596199994,40.85590689000003
201291292,2019-08-18,FALSE,-73.92024708999998,40.66486580000003
197254458,2019-05-15,FALSE,-73.90472771799995,40.85537769300004
201858654,2019-09-02,FALSE,-73.82004575599996,40.69761867900007
195743583,2019-04-08,FALSE,-73.89899717699996,40.67746959700003
200995689,2019-08-11,FALSE,-73.87035911599997,40.66905010500005
204971625,2019-11-10,FALSE,-73.92700768599997,40.62016320400005
191951586,2019-01-06,FALSE,-73.99197054399997,40.57462792900003
198457970,2019-06-13,FALSE,-73.95057358399998,40.78948655500005
198405080,2019-06-12,FALSE,-74.16684866599996,40.635872566000046
192974876,2019-01-30,FALSE,-73.92914864499994,40.85310893600007
200331332,2019-07-28,TRUE,-73.90632950099996,40.63434976900004
200365034,2019-07-28,FALSE,-73.95246317599998,40.81860066000007
194626069,2019-03-12,FALSE,-73.92149590099996,40.675727746000064
199744073,2019-07-14,FALSE,-73.90729576599995,40.66757342400007
203676932,2019-10-13,FALSE,-73.93280818499994,40.69426487000004
202620767,2019-09-18,FALSE,-73.91597788499996,40.834823081000025
199422329,2019-07-07,FALSE,-73.99407278899997,40.574301425000044
204294841,2019-10-25,FALSE,-73.89878841299998,40.857790719000036
202356981,2019-09-12,FALSE,-73.92546530099997,40.665926040000045
203041430,2019-09-28,TRUE,-73.89660592299998,40.83855936400005
206032523,2019-12-04,FALSE,-73.94543829899999,40.652894047000075
206824627,2019-12-23,FALSE,-73.90031840799998,40.84757900300008
197953467,2019-06-01,FALSE,-73.88787562499994,40.81435102900008
200331333,2019-07-27,FALSE,-73.90075779799997,40.657236613000066
194817578,2019-03-16,FALSE,-73.77563402799996,40.694323792000034
206524906,2019-12-14,FALSE,-73.89455982599998,40.86857634900008
201856914,2019-09-02,TRUE,-73.90652809699998,40.69577536400004
204396946,2019-10-29,FALSE,-73.76645659599995,40.686019044000034
195145308,2019-03-25,FALSE,-73.91110256099995,40.80804468800005
198858227,2019-06-23,FALSE,-73.95127310099997,40.82549764000004
205748550,2019-11-27,FALSE,-73.82694879599995,40.83079891400007
195396618,2019-03-31,FALSE,-73.93938447299996,40.67984749000004
192545750,2019-01-19,FALSE,-73.87811801099997,40.82609951400008
