report_number,label,longitude,latitude
190191530,"400 W PEACHTREE ST NW
19 January @ 15:00",-84.3876,33.76614
190570315,"171 AUBURN AVE NE @CITY WALK APARTMENTS
26 February @ 02:00",-84.38185,33.75546
192160018,"241 FORSYTH ST SW
 4 August @ 00:00",-84.39732,33.74827
193302338,"80 JESSE HILL JR DR SE @GRADY
26 November @ 22:00",-84.38198,33.75168
