month	longitude	latitude
2020-01-01	-2.465978	53.767257
2020-01-01	-2.466822	53.76409
2020-01-01	-2.473663	53.768018
2020-01-01	-2.480452	53.774058
2020-01-01	-2.488984	53.770482
2020-01-01	-2.478649	53.771584
2020-01-01	-2.478649	53.771584
2020-01-01	-2.475745	53.77369
2020-01-01	-2.485018	53.762103
2020-01-01	-2.474938	53.774781
2020-01-01	-2.507117	53.76318
2020-01-01	-2.495764	53.766499
2020-01-01	-2.502823	53.754138
2020-01-01	-2.502823	53.754138
2020-01-01	-2.506511	53.753116
2020-01-01	-2.472768	53.753254
2020-01-01	-2.474744	53.763016
2020-01-01	-2.473761	53.761977
2020-01-01	-2.473761	53.761977
2020-01-01	-2.471863	53.761733
2020-01-01	-2.473761	53.761977
2020-01-01	-2.474744	53.763016
2020-01-01	-2.474744	53.763016
2020-01-01	-2.469201	53.758418
2020-01-01	-2.464426	53.761421
2020-01-01	-2.467873	53.760383
2020-01-01	-2.469952	53.761795
2020-01-01	-2.466911	53.762535
2020-01-01	-2.467873	53.760383
2020-01-01	-2.464338	53.757565
2020-01-01	-2.465745	53.757254
2020-01-01	-2.464031	53.755796
2020-01-01	-2.481227	53.759548
2020-01-01	-2.478962	53.760438
2020-01-01	-2.47966	53.759096
2020-01-01	-2.478962	53.760438
2020-01-01	-2.47966	53.759096
2020-01-01	-2.481986	53.756965
2020-01-01	-2.479313	53.755286
2020-01-01	-2.47844	53.754526
2020-01-01	-2.479734	53.754979
2020-01-01	-2.475779	53.757925
2020-01-01	-2.491364	53.754779
2020-01-01	-2.491364	53.754779
2020-01-01	-2.486692	53.755948
2020-01-01	-2.486692	53.755948
2020-01-01	-2.488562	53.757703
2020-01-01	-2.50591	53.749856
2020-01-01	-2.505581	53.748958
2020-01-01	-2.503432	53.748069
2020-01-01	-2.500185	53.751686
2020-01-01	-2.501217	53.750478
2020-01-01	-2.496831	53.751476
2020-01-01	-2.501217	53.750478
2020-01-01	-2.501217	53.750478
