month	longitude	latitude
2020-01-01	-1.59028	54.949261
2020-01-01	-1.59028	54.949261
2020-01-01	-1.589278	54.949492
2020-01-01	-1.573925	54.948621
2020-01-01	-1.560994	54.950417
2020-01-01	-1.577274	54.943322
2020-01-01	-1.577274	54.943322
2020-01-01	-1.659484	54.946383
2020-01-01	-1.646682	54.946482
2020-01-01	-1.649947	54.949762
2020-01-01	-1.657921	54.950243
2020-01-01	-1.657921	54.950243
2020-01-01	-1.649947	54.949762
2020-01-01	-1.650501	54.947104
2020-01-01	-1.643897	54.9489
2020-01-01	-1.643921	54.951524
2020-01-01	-1.643921	54.951524
2020-01-01	-1.640774	54.947228
2020-01-01	-1.643921	54.951524
2020-01-01	-1.519458	54.946837
2020-01-01	-1.5414350000000001	54.936273
2020-01-01	-1.5414350000000001	54.936273
2020-01-01	-1.533031	54.940967
2020-01-01	-1.533031	54.940967
2020-01-01	-1.532245	54.949492
2020-01-01	-1.531551	54.951476
2020-01-01	-1.551569	54.940121
2020-01-01	-1.552483	54.939252
2020-01-01	-1.550724	54.943047
2020-01-01	-1.553553	54.937108
2020-01-01	-1.555145	54.937078
2020-01-01	-1.547538	54.940402
2020-01-01	-1.550523	54.941474
2020-01-01	-1.550724	54.943047
2020-01-01	-1.537782	54.94724
2020-01-01	-1.537782	54.94724
2020-01-01	-1.544251	54.946761
2020-01-01	-1.545811	54.948241
2020-01-01	-1.556547	54.947328
2020-01-01	-1.555502	54.944341
2020-01-01	-1.556547	54.947328
2020-01-01	-1.556547	54.947328
2020-01-01	-1.552522	54.954107
2020-01-01	-1.556547	54.947328
2020-01-01	-1.553643	54.945861
2020-01-01	-1.556547	54.947328
2020-01-01	-1.543897	54.944936
2020-01-01	-1.553026	54.946605
2020-01-01	-1.543947	54.944675
2020-01-01	-1.543897	54.944936
2020-01-01	-1.542791	54.940609
2020-01-01	-1.537985	54.945911
2020-01-01	-1.537985	54.945911
2020-01-01	-1.537985	54.945911
2020-01-01	-1.537985	54.945911
2020-01-01	-1.538959	54.94533
2020-01-01	-1.545578	54.941168
2020-01-01	-1.537985	54.945911
2020-01-01	-1.545578	54.941168
2020-01-01	-1.54881	54.936983
2020-01-01	-1.544107	54.935968
2020-01-01	-1.544721	54.938271
2020-01-01	-1.544107	54.935968
2020-01-01	-1.54881	54.936983
2020-01-01	-1.544721	54.938271
2020-01-01	-1.579552	54.935979
2020-01-01	-1.579552	54.935979
2020-01-01	-1.590672	54.939854
2020-01-01	-1.588279	54.940358
2020-01-01	-1.594965	54.941378
2020-01-01	-1.675425	54.946148
2020-01-01	-1.678623	54.936649
2020-01-01	-1.693388	54.934657
2020-01-01	-1.69431	54.942684
2020-01-01	-1.684007	54.938685
2020-01-01	-1.560286	54.945185
2020-01-01	-1.562322	54.944536
2020-01-01	-1.555988	54.942806
2020-01-01	-1.560286	54.945185
2020-01-01	-1.559322	54.940481
2020-01-01	-1.560286	54.945185
2020-01-01	-1.560286	54.945185
2020-01-01	-1.560286	54.945185
2020-01-01	-1.559322	54.940481
2020-01-01	-1.560286	54.945185
2020-01-01	-1.560286	54.945185
2020-01-01	-1.573242	54.942337
2020-01-01	-1.552886	54.935363
2020-01-01	-1.547872	54.937052
2020-01-01	-1.547872	54.937052
2020-01-01	-1.639639	54.939676
2020-01-01	-1.637091	54.94188
2020-01-01	-1.636569	54.942642
2020-01-01	-1.635139	54.94368
2020-01-01	-1.646335	54.936129
2020-01-01	-1.66822	54.924328
2020-01-01	-1.674593	54.921578
2020-01-01	-1.704281	54.91335
2020-01-01	-1.681845	54.915989
2020-01-01	-1.677322	54.923634
2020-01-01	-1.681341	54.924489
2020-01-01	-1.675642	54.923036
2020-01-01	-1.682377	54.923701
2020-01-01	-1.595556	54.930713
2020-01-01	-1.596316	54.931129
2020-01-01	-1.597282	54.931312
2020-01-01	-1.59531	54.931899
2020-01-01	-1.597109	54.925147
2020-01-01	-1.597109	54.925147
2020-01-01	-1.599135	54.931696
2020-01-01	-1.599135	54.931696
2020-01-01	-1.599166	54.936459
2020-01-01	-1.600068	54.936767
2020-01-01	-1.599709	54.936775
2020-01-01	-1.599166	54.936459
2020-01-01	-1.599709	54.936775
2020-01-01	-1.599166	54.936459
2020-01-01	-1.569916	54.926285
2020-01-01	-1.574914	54.934714
2020-01-01	-1.574556	54.933176
2020-01-01	-1.574914	54.934714
2020-01-01	-1.574914	54.934714
2020-01-01	-1.574914	54.934714
2020-01-01	-1.574914	54.934714
2020-01-01	-1.57019	54.932864
2020-01-01	-1.588589	54.932883
2020-01-01	-1.576942	54.934802
2020-01-01	-1.577563	54.93369
2020-01-01	-1.587358	54.932744
2020-01-01	-1.576942	54.934802
2020-01-01	-1.577563	54.93369
2020-01-01	-1.577563	54.93369
2020-01-01	-1.575288	54.924381
2020-01-01	-1.563529	54.929686
2020-01-01	-1.565415	54.928426
2020-01-01	-1.56137	54.93019
2020-01-01	-1.56137	54.93019
2020-01-01	-1.739369	54.919649
2020-01-01	-1.759038	54.922915
2020-01-01	-1.759038	54.922915
2020-01-01	-1.742369	54.928678
2020-01-01	-1.731529	54.93959
2020-01-01	-1.593459	54.920444
2020-01-01	-1.588457	54.919816
2020-01-01	-1.588395	54.925918
2020-01-01	-1.574957	54.924748
2020-01-01	-1.582169	54.922931
2020-01-01	-1.582169	54.922931
2020-01-01	-1.582169	54.922931
2020-01-01	-1.574957	54.924748
2020-01-01	-1.767528	54.922555
2020-01-01	-1.804555	54.928371
