incident_key,occur_date,murder,longitude,latitude
205748546,2019-11-27,FALSE,-73.91857061799993,40.81869973000005
201483468,2019-08-22,FALSE,-73.91333944399997,40.85454734900003
197997726,2019-06-03,FALSE,-73.89500620399997,40.86065555300007
204464564,2019-11-04,FALSE,-73.91375915499998,40.82079045300003
205748546,2019-11-27,FALSE,-73.91857061799993,40.81869973000005
200365038,2019-07-28,FALSE,-73.917800376999935,40.85143811800003
201852654,2019-08-31,FALSE,-73.85205834399994,40.84262515300003
193418293,2019-02-09,FALSE,-73.86599762999998,40.86268129200005
199637606,2019-07-11,TRUE,-73.89940208399997,40.85837313300004
195102368,2019-03-22,FALSE,-73.89368292099994,40.84264632600008
200209680,2019-07-24,FALSE,-73.84135960699996,40.87324459100006
193939359,2019-02-24,FALSE,-73.91182094199996,40.83021160200008
201875868,2019-09-02,FALSE,-73.89291929999996,40.85451099000005
196000890,2019-04-14,FALSE,-73.90679704999997,40.859381159000066
201720172,2019-08-28,FALSE,-73.90446299999996,40.86350728100007
200056610,2019-07-19,FALSE,-73.89769596199994,40.85590689000003
197254458,2019-05-15,FALSE,-73.90472771799995,40.85537769300004
202620767,2019-09-18,FALSE,-73.91597788499996,40.834823081000025
204294841,2019-10-25,FALSE,-73.89878841299998,40.857790719000036
203041430,2019-09-28,TRUE,-73.89660592299998,40.83855936400005
206824627,2019-12-23,FALSE,-73.90031840799998,40.84757900300008
197953467,2019-06-01,FALSE,-73.88787562499994,40.81435102900008
206524906,2019-12-14,FALSE,-73.89455982599998,40.86857634900008
195145308,2019-03-25,FALSE,-73.91110256099995,40.80804468800005
205748550,2019-11-27,FALSE,-73.82694879599995,40.83079891400007
192545750,2019-01-19,FALSE,-73.87811801099997,40.82609951400008
205493216,2019-11-21,FALSE,-73.84754276399997,40.857454424000025
197525242,2019-05-22,FALSE,-73.89950079699997,40.83850153900005
192545746,2019-01-18,FALSE,-73.91810450699995,40.812866866000036
201664629,2019-08-27,FALSE,-73.91182094199996,40.83021160200008
196820305,2019-05-04,FALSE,-73.88273420199994,40.853658463000045
201291296,2019-08-17,FALSE,-73.91810115099997,40.82146607400006
198171739,2019-06-07,FALSE,-73.85042595199997,40.869408631000056
199325323,2019-07-05,TRUE,-73.88417430999993,40.85284199500006
205862270,2019-11-30,TRUE,-73.92249595899995,40.84512030900004
195553175,2019-04-03,TRUE,-73.90285617699993,40.829965609000055
205177556,2019-11-14,FALSE,-73.92671649599998,40.83289538100007
193509769,2019-02-12,FALSE,-73.90032661699996,40.82280248200004
203348707,2019-10-05,FALSE,-73.90762016499997,40.81594675500003
205437642,2019-11-20,TRUE,-73.91710967899996,40.83427221300008
198948494,2019-06-25,FALSE,-73.89240146599997,40.85731010600006
197106407,2019-05-11,TRUE,-73.85374008999997,40.88484355600008
206311807,2019-12-10,FALSE,-73.88842801999994,40.84687919500004
195013387,2019-03-21,FALSE,-73.92364455999996,40.81428694400006
203207191,2019-10-02,FALSE,-73.91457972899997,40.84297933500005
200994118,2019-08-10,FALSE,-73.88948128799996,40.83946674600003
204434561,2019-10-31,FALSE,-73.90452830099997,40.82305580800005
200056612,2019-07-19,FALSE,-73.91235948099995,40.84932069000007
204054325,2019-04-21,TRUE,-73.88585904599995,40.88007108800008
193417904,2019-02-08,TRUE,-73.90624419799997,40.81816612400007
198107752,2019-06-05,FALSE,-73.91647725199994,40.80550434700007
204294846,2019-10-27,FALSE,-73.91862797499994,40.83088631600003
201573936,2019-08-25,TRUE,-73.87961129699994,40.873480219000044
205124100,2019-11-13,FALSE,-73.87487918899996,40.83064129700006
199314079,2019-07-04,FALSE,-73.91077639999997,40.85194616000007
203394879,2019-10-07,FALSE,-73.85414296999994,40.818246481000074
194525844,2019-03-09,FALSE,-73.89693055399994,40.81563577600008
198858232,2019-06-23,FALSE,-73.87182548099997,40.834532695000064
193939360,2019-02-23,FALSE,-73.84778502199998,40.81794183300008
196364280,2019-04-23,FALSE,-73.90370600899996,40.837001024000074
196525187,2019-04-27,TRUE,-73.89264894999997,40.84507992600004
201851564,2019-08-30,FALSE,-73.90982448999995,40.84486682000005
200365030,2019-07-28,FALSE,-73.88654175399995,40.81482181700005
193417904,2019-02-08,TRUE,-73.90624419799997,40.81816612400007
204192601,2019-10-24,FALSE,-73.91244513899994,40.855641810000066
198405076,2019-06-12,FALSE,-73.85766247999999,40.86189455900006
193732895,2019-02-18,FALSE,-73.83866600699997,40.89104019400003
203678796,2019-10-12,FALSE,-73.90728181399999,40.830611515000044
205748546,2019-11-27,FALSE,-73.91857061799993,40.81869973000005
206843560,2019-12-25,FALSE,-73.89332824199994,40.820411060000026
198052648,2019-06-04,FALSE,-73.90295060899996,40.861842730000035
204294845,2019-10-26,FALSE,-73.89337329799997,40.84640903700006
198595257,2019-06-17,FALSE,-73.85723973399996,40.83146892900004
195699912,2019-04-06,FALSE,-73.92133955099996,40.82051865600005
198858229,2019-06-23,FALSE,-73.90157978699995,40.85495236700007
201483468,2019-08-22,FALSE,-73.91333944399997,40.85454734900003
197381375,2019-05-17,FALSE,-73.91372714799996,40.837118743000076
194527595,2019-03-09,FALSE,-73.90443726899997,40.82857810400003
204294841,2019-10-25,FALSE,-73.89878841299998,40.857790719000036
206090803,2019-12-05,FALSE,-73.91400444399994,40.82389216900003
199403136,2019-07-05,FALSE,-73.86943433699997,40.878137880000054
204464564,2019-11-04,TRUE,-73.91375915499998,40.82079045300003
200209679,2019-07-24,FALSE,-73.91898142499997,40.82847396100004
199742307,2019-07-13,FALSE,-73.90074122799996,40.85004960500004
