report_number,label,longitude,latitude
190100682,"2075 DONALD LEE HOLLOWELL PKWY
10 January @ 08:00",-84.45342,33.77676
190772034,"1885 NEWMAN PL NW
18 March @ 21:00",-84.44934,33.78009
190791373,"378 ILLINOIS AVE NW
20 March @ 14:00",-84.45206,33.76566
192762305,"1425 JOSEPH E BOONE BLVD NW
 3 October @ 19:00",-84.43455,33.76385
192762484,"2045 DONALD LEE HOLLOWELL PKWY NW
 3 October @ 21:00",-84.45214,33.7774
192900371,"385 HOLLY ST NW
17 October @ 04:00",-84.43756,33.76541
